action1,action2,count
emotion_receiving,situation_selection,4.0
emotional_reappraisal,metacognitive_regulation,4.0
meta_awareness,remembering,4.0
meta_awareness,zooming_out,4.0
metacognitive_monitoring,metacognitive_regulation,4.0
metacognitive_regulation,situation_modification,4.0
noticing,suspending_judgment,4.0
abstracting,emotion_organizing,3.0
accepting,cognition_awareness,3.0
accepting,emotion_perception,3.0
accepting,emotion_valuing,3.0
accepting,hypothesis_generation,3.0
analogical_thinking,emotion_facilitation,3.0
analogical_thinking,suspending_judgment,3.0
analyzing,emotion_organizing,3.0
applying,situation_modification,3.0
attentional_deployment,emotion_organizing,3.0
concretizing,emotion_facilitation,3.0
concretizing,emotion_perception,3.0
concretizing,metacognitive_regulation,3.0
concretizing,situation_modification,3.0
concretizing,zooming_out,3.0
connecting,creating,3.0
connecting,emotion_facilitation,3.0
connecting,emotion_management,3.0
connecting,emotion_receiving,3.0
connecting,situation_modification,3.0
creating,emotion_characterizing,3.0
creating,emotion_facilitation,3.0
creating,emotion_perception,3.0
creating,pattern_recognition,3.0
emotion_characterizing,emotion_facilitation,3.0
emotion_characterizing,emotion_organizing,3.0
emotion_characterizing,zooming_in,3.0
emotion_facilitation,meta_awareness,3.0
emotion_facilitation,situation_modification,3.0
emotion_management,emotion_organizing,3.0
emotion_organizing,emotion_perception,3.0
emotion_organizing,evaluating,3.0
emotion_organizing,reframing,3.0
emotion_organizing,understanding,3.0
emotion_perception,meta_awareness,3.0
emotion_receiving,updating_beliefs,3.0
emotion_valuing,metacognitive_regulation,3.0
hypothesis_generation,metacognitive_regulation,3.0
meta_awareness,metacognitive_regulation,3.0
metacognitive_regulation,perspective_taking,3.0
pattern_recognition,suspending_judgment,3.0
perspective_taking,situation_modification,3.0
perspective_taking,updating_beliefs,3.0
reconsidering,zooming_in,3.0
abstracting,accepting,2.0
accepting,distinguishing,2.0
accepting,emotion_facilitation,2.0
accepting,emotional_reappraisal,2.0
accepting,metacognitive_regulation,2.0
accepting,reconsidering,2.0
accepting,situation_modification,2.0
accepting,zooming_out,2.0
analogical_thinking,updating_beliefs,2.0
analyzing,emotion_facilitation,2.0
applying,creating,2.0
attentional_deployment,meta_awareness,2.0
cognition_awareness,emotion_organizing,2.0
concretizing,connecting,2.0
concretizing,creating,2.0
concretizing,updating_beliefs,2.0
concretizing,zooming_in,2.0
creating,emotional_reappraisal,2.0
distinguishing,emotion_organizing,2.0
emotion_characterizing,reconsidering,2.0
emotion_characterizing,updating_beliefs,2.0
emotion_facilitation,emotion_receiving,2.0
emotion_organizing,emotional_reappraisal,2.0
emotion_organizing,noticing,2.0
emotion_organizing,situation_selection,2.0
emotion_organizing,zooming_out,2.0
emotion_perception,situation_modification,2.0
emotion_perception,suspending_judgment,2.0
emotion_responding,suspending_judgment,2.0
emotion_understanding,situation_modification,2.0
emotional_reappraisal,meta_awareness,2.0
evaluating,meta_awareness,2.0
meta_awareness,metacognitive_monitoring,2.0
meta_awareness,reconsidering,2.0
meta_awareness,reframing,2.0
meta_awareness,situation_selection,2.0
meta_awareness,suspending_judgment,2.0
meta_awareness,zooming_in,2.0
metacognitive_monitoring,situation_modification,2.0
metacognitive_regulation,remembering,2.0
metacognitive_regulation,suspending_judgment,2.0
metacognitive_regulation,zooming_in,2.0
situation_selection,suspending_judgment,2.0
accepting,attentional_deployment,1.0
accepting,connecting,1.0
accepting,emotion_organizing,1.0
accepting,emotion_receiving,1.0
accepting,remembering,1.0
accepting,updating_beliefs,1.0
accepting,zooming_in,1.0
analyzing,suspending_judgment,1.0
applying,emotion_organizing,1.0
attentional_deployment,connecting,1.0
attentional_deployment,metacognitive_regulation,1.0
attentional_deployment,updating_beliefs,1.0
concretizing,emotion_organizing,1.0
concretizing,emotion_receiving,1.0
concretizing,meta_awareness,1.0
connecting,emotion_responding,1.0
creating,metacognitive_monitoring,1.0
creating,metacognitive_regulation,1.0
distinguishing,suspending_judgment,1.0
divergent_thinking,suspending_judgment,1.0
emotion_characterizing,meta_awareness,1.0
emotion_characterizing,metacognitive_regulation,1.0
emotion_management,updating_beliefs,1.0
emotion_organizing,emotion_responding,1.0
emotion_organizing,pattern_recognition,1.0
emotion_organizing,situation_modification,1.0
emotion_perception,metacognitive_regulation,1.0
emotion_receiving,suspending_judgment,1.0
emotion_understanding,meta_awareness,1.0
emotion_valuing,meta_awareness,1.0
emotion_valuing,updating_beliefs,1.0
emotional_reappraisal,suspending_judgment,1.0
reconsidering,suspending_judgment,1.0
suspending_judgment,updating_beliefs,1.0
updating_beliefs,zooming_in,1.0
