action_from,action_to,count
perspective_taking,abstracting,41
remembering,abstracting,49
remembering,understanding,57
abstracting,perspective_taking,52
abstracting,emotion_facilitation,6
understanding,emotion_facilitation,13
perspective_taking,distinguishing,38
emotion_facilitation,distinguishing,7
emotion_facilitation,analogical_thinking,17
emotion_facilitation,response_modulation,25
emotion_facilitation,noticing,36
distinguishing,accepting,3
analogical_thinking,accepting,15
response_modulation,accepting,19
self_questioning,accepting,25
noticing,accepting,28
accepting,abstracting,3
remembering,analogical_thinking,91
counterfactual_reasoning,analogical_thinking,163
understanding,zooming_in,33
understanding,concretizing,20
counterfactual_reasoning,zooming_in,22
reframing,zooming_in,58
self_questioning,zooming_in,74
self_questioning,concretizing,32
zooming_in,understanding,36
zooming_in,abstracting,30
zooming_in,cognition_awareness,14
zooming_in,emotion_understanding,29
concretizing,understanding,18
concretizing,abstracting,10
concretizing,cognition_awareness,5
emotion_understanding,cognition_awareness,101
abstracting,attentional_deployment,16
emotion_responding,emotion_receiving,19
emotion_responding,attentional_deployment,18
emotion_understanding,attentional_deployment,36
divergent_thinking,emotion_receiving,24
divergent_thinking,attentional_deployment,29
perspective_taking,emotion_receiving,12
perspective_taking,attentional_deployment,12
understanding,emotion_receiving,21
cognition_awareness,zooming_in,19
emotion_receiving,analogical_thinking,30
emotion_receiving,zooming_in,4
emotion_receiving,analyzing,16
attentional_deployment,questioning,35
attentional_deployment,zooming_in,4
attentional_deployment,analyzing,19
divergent_thinking,analogical_thinking,196
hypothesis_generation,zooming_in,17
zooming_in,analyzing,23
analyzing,emotion_valuing,35
emotion_valuing,metacognitive_regulation,2
questioning,metacognitive_regulation,7
abstracting,remembering,65
analogical_thinking,situation_selection,38
counterfactual_reasoning,reconsidering,64
remembering,metacognitive_regulation,2
situation_selection,analogical_thinking,48
metacognitive_regulation,analogical_thinking,6
reconsidering,cognition_awareness,43
pattern_recognition,creating,8
pattern_recognition,situation_modification,8
pattern_recognition,situation_selection,30
cognition_awareness,situation_modification,7
divergent_thinking,emotion_facilitation,10
hypothesis_generation,emotion_facilitation,11
reconsidering,emotion_facilitation,6
creating,counterfactual_reasoning,4
creating,emotion_facilitation,3
creating,hypothesis_generation,7
creating,metacognitive_monitoring,5
situation_modification,counterfactual_reasoning,8
situation_modification,metacognitive_monitoring,7
situation_selection,emotion_facilitation,3
analogical_thinking,meta_awareness,10
analogical_thinking,emotion_management,22
analogical_thinking,emotion_facilitation,16
analogical_thinking,attentional_deployment,35
response_modulation,meta_awareness,10
noticing,meta_awareness,18
self_questioning,meta_awareness,11
self_questioning,emotion_facilitation,26
self_questioning,attentional_deployment,50
meta_awareness,counterfactual_reasoning,8
meta_awareness,hypothesis_generation,8
meta_awareness,analogical_thinking,6
meta_awareness,perspective_taking,3
meta_awareness,divergent_thinking,4
metacognitive_monitoring,counterfactual_reasoning,29
metacognitive_monitoring,divergent_thinking,39
counterfactual_reasoning,perspective_taking,43
emotion_management,counterfactual_reasoning,13
emotion_management,analogical_thinking,19
emotion_management,divergent_thinking,21
emotion_facilitation,divergent_thinking,9
attentional_deployment,counterfactual_reasoning,17
attentional_deployment,hypothesis_generation,30
attentional_deployment,divergent_thinking,22
convergent_thinking,distinguishing,99
self_questioning,connecting,33
connecting,zooming_out,7
noticing,zooming_out,134
divergent_thinking,zooming_out,31
zooming_out,divergent_thinking,37
zooming_out,emotional_reappraisal,11
zooming_out,connecting,8
zooming_out,counterfactual_reasoning,34
zooming_out,reconsidering,25
analogical_thinking,emotional_reappraisal,62
analogical_thinking,connecting,23
emotional_reappraisal,attentional_deployment,6
connecting,attentional_deployment,4
counterfactual_reasoning,attentional_deployment,16
reconsidering,attentional_deployment,13
attentional_deployment,zooming_out,6
attentional_deployment,emotion_facilitation,2
zooming_out,noticing,122
emotion_responding,suspending_judgment,2
emotion_responding,meta_awareness,3
cognition_awareness,suspending_judgment,4
cognition_awareness,meta_awareness,5
self_questioning,suspending_judgment,8
attentional_deployment,suspending_judgment,3
attentional_deployment,meta_awareness,1
perspective_taking,suspending_judgment,2
perspective_taking,meta_awareness,2
remembering,suspending_judgment,5
remembering,meta_awareness,3
suspending_judgment,hypothesis_generation,2
suspending_judgment,suspending_judgment,1
meta_awareness,self_questioning,11
meta_awareness,suspending_judgment,1
suspending_judgment,response_modulation,5
analogical_thinking,cognition_awareness,94
abstracting,emotional_reappraisal,37
attentional_deployment,understanding,29
attentional_deployment,emotional_reappraisal,11
attentional_deployment,reframing,43
attentional_deployment,reconsidering,14
questioning,meta_awareness,10
understanding,meta_awareness,8
emotional_reappraisal,meta_awareness,2
emotional_reappraisal,questioning,59
emotional_reappraisal,reconsidering,19
reframing,meta_awareness,5
reconsidering,meta_awareness,4
meta_awareness,pattern_recognition,2
meta_awareness,questioning,10
meta_awareness,noticing,20
pattern_recognition,emotion_characterizing,15
questioning,emotion_characterizing,27
noticing,emotion_characterizing,77
emotion_valuing,emotion_receiving,14
emotion_characterizing,response_modulation,45
emotion_characterizing,emotion_receiving,6
emotion_characterizing,noticing,83
emotion_characterizing,reframing,50
emotion_receiving,reframing,31
questioning,zooming_out,38
response_modulation,zooming_out,53
meta_awareness,metacognitive_regulation,1
meta_awareness,situation_selection,2
meta_awareness,reconsidering,4
zooming_out,metacognitive_regulation,6
zooming_out,situation_selection,5
cognition_awareness,metacognitive_regulation,5
metacognitive_regulation,divergent_thinking,9
analogical_thinking,emotion_responding,146
divergent_thinking,perspective_taking,43
concretizing,remembering,11
remembering,emotion_responding,50
understanding,emotion_characterizing,27
emotion_characterizing,emotion_responding,19
emotion_responding,accepting,10
accepting,counterfactual_reasoning,8
accepting,divergent_thinking,10
accepting,hypothesis_generation,7
accepting,perspective_taking,3
accepting,analogical_thinking,12
divergent_thinking,emotion_valuing,35
perspective_taking,emotion_understanding,67
understanding,emotion_valuing,52
self_questioning,emotion_characterizing,61
emotion_characterizing,reconsidering,11
emotion_responding,connecting,14
connecting,questioning,15
connecting,emotion_valuing,4
connecting,response_modulation,38
connecting,counterfactual_reasoning,13
attentional_deployment,emotion_perception,7
abstracting,distinguishing,117
perspective_taking,analyzing,52
analyzing,divergent_thinking,84
convergent_thinking,abstracting,102
emotion_valuing,distinguishing,37
analogical_thinking,zooming_out,51
emotion_understanding,zooming_out,48
zooming_out,abstracting,30
zooming_out,emotion_understanding,50
attentional_deployment,convergent_thinking,28
analyzing,situation_selection,25
emotional_reappraisal,emotion_responding,34
abstracting,concretizing,15
emotion_valuing,concretizing,6
analogical_thinking,concretizing,17
emotion_valuing,zooming_out,10
concretizing,emotion_valuing,5
concretizing,perspective_taking,11
concretizing,zooming_out,7
reconsidering,zooming_out,24
zooming_out,remembering,19
remembering,connecting,6
remembering,zooming_out,21
connecting,divergent_thinking,18
connecting,meta_awareness,1
zooming_out,meta_awareness,2
zooming_out,response_modulation,70
zooming_out,self_questioning,88
zooming_out,analogical_thinking,50
divergent_thinking,emotion_perception,42
meta_awareness,response_modulation,5
meta_awareness,emotion_facilitation,2
meta_awareness,emotion_perception,3
emotion_facilitation,zooming_out,3
emotion_facilitation,attentional_deployment,2
emotion_perception,zooming_out,11
emotion_perception,attentional_deployment,10
noticing,connecting,64
remembering,cognition_awareness,40
emotion_responding,zooming_out,28
emotion_understanding,connecting,24
connecting,noticing,61
emotion_responding,emotional_reappraisal,33
remembering,emotional_reappraisal,12
convergent_thinking,emotional_reappraisal,47
emotional_reappraisal,emotion_perception,22
evaluating,zooming_in,40
zooming_in,remembering,14
zooming_in,convergent_thinking,26
zooming_in,response_modulation,52
self_questioning,situation_modification,15
situation_modification,understanding,14
self_questioning,emotional_reappraisal,103
emotional_reappraisal,analogical_thinking,41
emotional_reappraisal,cognition_awareness,35
analyzing,accepting,4
analyzing,emotion_management,11
analyzing,emotion_facilitation,9
accepting,evaluating,10
emotion_management,evaluating,32
emotion_facilitation,evaluating,9
understanding,emotional_reappraisal,41
perspective_taking,situation_selection,14
situation_selection,perspective_taking,13
questioning,situation_modification,12
emotion_valuing,situation_modification,3
convergent_thinking,situation_modification,11
analogical_thinking,situation_modification,8
noticing,situation_modification,25
situation_modification,perspective_taking,6
situation_modification,questioning,15
analyzing,zooming_out,26
perspective_taking,zooming_out,19
remembering,emotion_receiving,9
understanding,zooming_out,39
reconsidering,emotion_receiving,10
reconsidering,emotion_responding,57
emotion_receiving,abstracting,10
emotion_receiving,perspective_taking,4
emotion_receiving,emotion_understanding,28
emotion_receiving,convergent_thinking,29
zooming_out,perspective_taking,14
situation_selection,abstracting,21
abstracting,situation_modification,6
perspective_taking,situation_modification,7
emotion_understanding,situation_modification,9
situation_modification,emotion_valuing,1
distinguishing,emotion_management,21
distinguishing,emotional_reappraisal,34
emotional_reappraisal,convergent_thinking,49
cognition_awareness,zooming_out,17
cognition_awareness,emotion_management,10
convergent_thinking,zooming_out,37
convergent_thinking,emotion_management,16
zooming_out,zooming_out,15
zooming_out,metacognitive_monitoring,6
zooming_out,analyzing,20
zooming_out,emotion_management,5
connecting,metacognitive_monitoring,1
connecting,analyzing,14
connecting,emotion_management,3
connecting,abstracting,23
zooming_out,evaluating,43
zooming_out,emotion_perception,16
abstracting,emotion_perception,42
emotion_perception,situation_selection,16
concretizing,emotion_perception,5
connecting,evaluating,12
noticing,creating,31
analogical_thinking,zooming_in,37
analyzing,zooming_in,19
analyzing,creating,6
distinguishing,zooming_in,26
distinguishing,creating,3
remembering,creating,1
zooming_in,distinguishing,24
creating,remembering,4
pattern_recognition,zooming_out,14
zooming_out,reframing,68
zooming_out,emotion_responding,25
emotion_perception,zooming_in,14
emotion_understanding,zooming_in,34
convergent_thinking,zooming_in,22
cognition_awareness,cognition_awareness,58
cognition_awareness,concretizing,15
convergent_thinking,concretizing,15
attentional_deployment,concretizing,7
concretizing,emotion_characterizing,2
emotion_responding,emotion_characterizing,19
hypothesis_generation,emotion_characterizing,12
remembering,emotion_characterizing,8
emotion_characterizing,analogical_thinking,28
emotion_characterizing,counterfactual_reasoning,13
pattern_recognition,emotion_management,14
divergent_thinking,emotion_management,11
convergent_thinking,attentional_deployment,17
hypothesis_generation,attentional_deployment,18
emotion_management,attentional_deployment,4
attentional_deployment,applying,5
convergent_thinking,applying,27
applying,evaluating,38
applying,analogical_thinking,27
updating_beliefs,reframing,16
updating_beliefs,self_questioning,18
updating_beliefs,analogical_thinking,6
emotional_reappraisal,emotion_characterizing,9
emotional_reappraisal,emotional_reappraisal,25
emotional_reappraisal,metacognitive_monitoring,15
perspective_taking,metacognitive_monitoring,11
reframing,attentional_deployment,45
metacognitive_monitoring,reconsidering,25
emotion_perception,emotional_reappraisal,16
evaluating,updating_beliefs,6
emotional_reappraisal,updating_beliefs,3
counterfactual_reasoning,updating_beliefs,10
updating_beliefs,questioning,9
updating_beliefs,hypothesis_generation,4
updating_beliefs,pattern_recognition,7
hypothesis_generation,applying,18
pattern_recognition,applying,20
response_modulation,metacognitive_regulation,21
hypothesis_generation,metacognitive_regulation,5
analyzing,metacognitive_regulation,13
response_modulation,applying,47
cognition_awareness,applying,9
metacognitive_regulation,metacognitive_monitoring,3
metacognitive_regulation,emotion_valuing,1
metacognitive_regulation,emotion_perception,4
metacognitive_regulation,applying,5
accepting,reframing,20
accepting,self_questioning,23
zooming_in,situation_selection,6
zooming_in,divergent_thinking,27
zooming_in,applying,5
attentional_deployment,situation_selection,7
applying,divergent_thinking,30
questioning,updating_beliefs,7
divergent_thinking,updating_beliefs,6
divergent_thinking,emotional_reappraisal,38
self_questioning,updating_beliefs,12
updating_beliefs,abstracting,9
updating_beliefs,remembering,4
updating_beliefs,emotion_management,1
emotion_management,emotional_reappraisal,7
cognition_awareness,emotional_reappraisal,23
emotion_responding,emotion_organizing,4
perspective_taking,emotion_organizing,3
perspective_taking,connecting,10
remembering,emotion_organizing,1
emotion_organizing,evaluating,4
emotion_organizing,response_modulation,8
emotion_organizing,convergent_thinking,5
emotion_organizing,hypothesis_generation,5
connecting,convergent_thinking,12
connecting,hypothesis_generation,19
evaluating,emotion_characterizing,25
convergent_thinking,emotion_characterizing,14
zooming_in,evaluating,42
zooming_in,emotion_perception,7
zooming_in,concretizing,7
zooming_out,emotion_valuing,13
zooming_out,concretizing,10
emotion_understanding,concretizing,24
concretizing,hypothesis_generation,19
reconsidering,zooming_in,26
emotion_characterizing,divergent_thinking,16
emotion_characterizing,emotion_facilitation,2
reframing,connecting,30
connecting,emotion_responding,16
divergent_thinking,connecting,17
distinguishing,connecting,17
hypothesis_generation,connecting,19
zooming_in,counterfactual_reasoning,14
connecting,pattern_recognition,11
connecting,situation_selection,6
situation_selection,cognition_awareness,16
reconsidering,remembering,36
applying,abstracting,30
applying,pattern_recognition,18
applying,counterfactual_reasoning,17
zooming_in,emotion_receiving,8
zooming_in,emotion_responding,19
counterfactual_reasoning,emotion_receiving,18
abstracting,emotion_characterizing,25
emotion_characterizing,hypothesis_generation,17
zooming_out,emotion_characterizing,8
analogical_thinking,emotion_characterizing,35
connecting,distinguishing,20
connecting,reconsidering,6
emotion_characterizing,distinguishing,19
distinguishing,situation_modification,12
reconsidering,applying,10
reconsidering,situation_modification,7
evaluating,attentional_deployment,33
hypothesis_generation,updating_beliefs,13
attentional_deployment,evaluating,24
attentional_deployment,updating_beliefs,1
response_modulation,updating_beliefs,13
analogical_thinking,updating_beliefs,12
situation_selection,remembering,14
updating_beliefs,counterfactual_reasoning,6
pattern_recognition,concretizing,10
pattern_recognition,metacognitive_regulation,4
updating_beliefs,concretizing,3
updating_beliefs,convergent_thinking,6
updating_beliefs,response_modulation,14
updating_beliefs,metacognitive_monitoring,4
updating_beliefs,metacognitive_regulation,1
analogical_thinking,applying,26
emotional_reappraisal,perspective_taking,15
divergent_thinking,accepting,5
applying,analyzing,25
applying,understanding,32
emotion_responding,creating,10
creating,abstracting,10
creating,analyzing,14
creating,cognition_awareness,4
creating,attentional_deployment,3
abstracting,zooming_in,15
metacognitive_monitoring,convergent_thinking,50
metacognitive_monitoring,situation_selection,10
metacognitive_monitoring,zooming_in,8
zooming_in,hypothesis_generation,24
emotional_reappraisal,situation_selection,10
perspective_taking,emotional_reappraisal,10
noticing,emotion_organizing,11
divergent_thinking,emotion_organizing,2
reframing,emotion_organizing,7
emotion_organizing,reconsidering,1
reframing,suspending_judgment,7
cognition_awareness,emotion_facilitation,5
suspending_judgment,perspective_taking,3
suspending_judgment,questioning,9
suspending_judgment,emotion_facilitation,2
suspending_judgment,counterfactual_reasoning,4
questioning,emotion_facilitation,9
convergent_thinking,emotion_facilitation,14
emotion_facilitation,analyzing,4
emotion_facilitation,questioning,7
hypothesis_generation,emotional_reappraisal,28
emotion_valuing,connecting,7
emotion_perception,connecting,3
evaluating,connecting,14
connecting,understanding,21
connecting,emotion_characterizing,4
emotion_characterizing,abstracting,31
emotion_characterizing,pattern_recognition,11
evaluating,creating,16
creating,emotion_responding,7
creating,convergent_thinking,12
divergent_thinking,situation_modification,10
evaluating,situation_modification,9
analyzing,applying,21
reconsidering,emotion_management,9
applying,emotion_management,5
applying,hypothesis_generation,18
applying,perspective_taking,8
applying,reconsidering,19
remembering,emotion_management,6
hypothesis_generation,emotion_management,8
questioning,creating,10
situation_modification,evaluating,10
situation_modification,convergent_thinking,13
situation_modification,analyzing,8
creating,divergent_thinking,12
creating,emotional_reappraisal,3
situation_modification,cognition_awareness,7
cognition_awareness,attentional_deployment,17
creating,evaluating,13
emotion_understanding,emotion_facilitation,13
emotion_facilitation,cognition_awareness,4
emotion_valuing,emotional_reappraisal,12
pattern_recognition,attentional_deployment,13
analyzing,attentional_deployment,11
attentional_deployment,emotion_valuing,9
metacognitive_monitoring,applying,8
emotion_perception,applying,10
understanding,applying,18
questioning,emotion_receiving,36
self_questioning,emotion_receiving,52
convergent_thinking,emotion_receiving,25
understanding,metacognitive_regulation,10
emotion_receiving,divergent_thinking,13
emotion_receiving,evaluating,26
emotion_receiving,metacognitive_regulation,1
emotion_receiving,distinguishing,12
metacognitive_regulation,convergent_thinking,11
metacognitive_regulation,distinguishing,7
questioning,emotion_management,14
emotion_management,reconsidering,8
emotional_reappraisal,zooming_in,18
emotional_reappraisal,concretizing,7
perspective_taking,applying,10
emotion_understanding,creating,11
creating,zooming_out,3
creating,understanding,10
abstracting,zooming_out,31
analyzing,emotion_characterizing,13
divergent_thinking,emotion_characterizing,24
distinguishing,emotion_characterizing,23
emotion_characterizing,emotion_valuing,17
emotion_characterizing,emotion_characterizing,18
emotion_responding,metacognitive_monitoring,32
reframing,accepting,21
reframing,emotion_receiving,32
questioning,accepting,8
zooming_out,accepting,5
emotion_characterizing,evaluating,26
divergent_thinking,meta_awareness,9
meta_awareness,distinguishing,6
zooming_in,situation_modification,1
emotion_facilitation,situation_modification,2
emotion_facilitation,emotion_responding,12
emotion_facilitation,reconsidering,8
situation_modification,noticing,22
situation_modification,distinguishing,7
distinguishing,zooming_out,32
emotion_responding,emotion_management,17
emotion_management,emotion_characterizing,4
emotion_management,emotion_management,5
emotion_management,metacognitive_monitoring,10
reconsidering,accepting,7
accepting,response_modulation,19
accepting,pattern_recognition,9
abstracting,connecting,16
connecting,perspective_taking,8
applying,convergent_thinking,21
emotion_valuing,attentional_deployment,7
emotion_receiving,emotion_responding,15
metacognitive_regulation,analyzing,4
creating,situation_selection,4
attentional_deployment,emotion_management,2
emotion_management,emotion_responding,11
understanding,emotion_management,15
emotion_valuing,emotion_management,5
emotion_valuing,emotion_characterizing,14
convergent_thinking,accepting,10
accepting,emotion_responding,8
accepting,understanding,8
accepting,emotional_reappraisal,4
emotion_responding,applying,19
emotional_reappraisal,emotion_valuing,11
emotion_receiving,zooming_out,8
emotion_receiving,situation_modification,1
emotional_reappraisal,zooming_out,12
zooming_out,zooming_in,8
emotion_responding,metacognitive_regulation,4
metacognitive_regulation,emotion_characterizing,2
emotion_characterizing,zooming_out,5
emotion_characterizing,attentional_deployment,5
metacognitive_monitoring,zooming_out,8
metacognitive_monitoring,attentional_deployment,8
zooming_out,cognition_awareness,24
zooming_out,distinguishing,30
attentional_deployment,cognition_awareness,16
cognition_awareness,emotion_characterizing,5
emotion_characterizing,emotion_management,2
emotion_management,abstracting,8
metacognitive_monitoring,emotion_management,7
metacognitive_monitoring,emotion_characterizing,4
metacognitive_monitoring,emotion_responding,27
emotion_characterizing,metacognitive_monitoring,4
attentional_deployment,attentional_deployment,5
attentional_deployment,pattern_recognition,14
applying,emotion_valuing,13
applying,emotion_perception,13
reconsidering,emotion_characterizing,8
emotion_characterizing,emotional_reappraisal,4
situation_selection,emotional_reappraisal,8
situation_selection,emotion_receiving,5
emotion_receiving,emotion_management,5
emotion_receiving,emotional_reappraisal,6
emotion_receiving,pattern_recognition,9
emotion_receiving,emotion_perception,12
emotion_receiving,emotion_characterizing,6
emotion_management,applying,3
emotion_management,zooming_out,4
emotion_characterizing,applying,8
distinguishing,attentional_deployment,16
situation_selection,attentional_deployment,8
concretizing,attentional_deployment,3
applying,attentional_deployment,6
remembering,attentional_deployment,18
zooming_out,updating_beliefs,5
updating_beliefs,emotion_understanding,7
emotion_facilitation,concretizing,3
zooming_out,attentional_deployment,6
zooming_in,emotion_facilitation,1
concretizing,concretizing,5
concretizing,emotion_facilitation,4
emotion_facilitation,emotion_perception,10
updating_beliefs,emotion_perception,2
applying,situation_selection,8
applying,situation_modification,5
applying,zooming_out,12
attentional_deployment,situation_modification,1
situation_modification,pattern_recognition,7
zooming_out,pattern_recognition,21
situation_modification,analogical_thinking,14
evaluating,accepting,13
pattern_recognition,emotion_receiving,12
metacognitive_monitoring,concretizing,6
emotion_receiving,concretizing,3
emotion_receiving,hypothesis_generation,20
emotion_receiving,remembering,10
emotion_receiving,reconsidering,10
emotion_receiving,situation_selection,7
situation_modification,zooming_in,2
zooming_in,emotional_reappraisal,7
zooming_in,emotion_management,4
emotion_organizing,emotion_responding,4
emotion_facilitation,convergent_thinking,7
emotion_facilitation,creating,2
creating,analogical_thinking,14
emotion_management,distinguishing,6
emotional_reappraisal,emotion_facilitation,4
metacognitive_monitoring,emotional_reappraisal,9
emotion_receiving,emotion_facilitation,4
emotion_perception,emotion_facilitation,6
emotion_facilitation,remembering,1
emotion_facilitation,pattern_recognition,3
metacognitive_monitoring,updating_beliefs,2
convergent_thinking,updating_beliefs,8
remembering,updating_beliefs,5
updating_beliefs,emotional_reappraisal,2
updating_beliefs,reconsidering,4
analyzing,situation_modification,6
distinguishing,concretizing,9
analyzing,connecting,13
pattern_recognition,connecting,13
situation_modification,concretizing,2
situation_modification,connecting,2
concretizing,situation_selection,9
connecting,remembering,10
connecting,emotion_facilitation,1
situation_selection,emotion_characterizing,5
distinguishing,updating_beliefs,10
applying,applying,9
applying,emotion_characterizing,6
zooming_out,applying,5
connecting,applying,2
metacognitive_regulation,abstracting,7
suspending_judgment,convergent_thinking,3
suspending_judgment,reframing,6
suspending_judgment,understanding,2
accepting,emotion_characterizing,2
accepting,questioning,12
accepting,cognition_awareness,6
emotion_characterizing,suspending_judgment,1
understanding,suspending_judgment,4
suspending_judgment,emotion_understanding,5
analogical_thinking,suspending_judgment,4
emotion_understanding,suspending_judgment,6
emotional_reappraisal,counterfactual_reasoning,30
emotional_reappraisal,emotion_organizing,1
emotion_organizing,counterfactual_reasoning,2
situation_modification,reframing,11
zooming_out,creating,3
abstracting,creating,6
divergent_thinking,creating,8
attentional_deployment,creating,2
creating,pattern_recognition,7
counterfactual_reasoning,suspending_judgment,2
distinguishing,suspending_judgment,3
emotion_perception,suspending_judgment,2
emotion_receiving,suspending_judgment,1
emotion_receiving,understanding,22
suspending_judgment,emotion_responding,4
emotion_characterizing,remembering,5
emotion_receiving,emotion_receiving,8
zooming_out,situation_modification,3
metacognitive_monitoring,situation_modification,6
emotion_characterizing,situation_modification,3
hypothesis_generation,emotion_organizing,2
situation_modification,emotion_organizing,2
situation_modification,zooming_out,3
emotion_valuing,emotion_organizing,2
emotion_organizing,understanding,3
counterfactual_reasoning,zooming_out,17
accepting,emotion_valuing,2
accepting,applying,4
accepting,zooming_out,1
accepting,reconsidering,8
distinguishing,emotion_organizing,2
analogical_thinking,emotion_organizing,3
emotion_organizing,noticing,5
emotion_organizing,distinguishing,2
convergent_thinking,emotion_organizing,2
perspective_taking,accepting,1
counterfactual_reasoning,accepting,6
understanding,accepting,9
accepting,emotion_perception,2
abstracting,meta_awareness,7
distinguishing,meta_awareness,4
emotion_understanding,meta_awareness,2
meta_awareness,evaluating,8
emotion_valuing,zooming_in,7
perspective_taking,zooming_in,6
zooming_in,perspective_taking,11
perspective_taking,creating,3
emotion_perception,creating,3
situation_selection,zooming_out,3
understanding,updating_beliefs,9
reconsidering,updating_beliefs,6
updating_beliefs,emotion_responding,5
situation_modification,remembering,4
situation_modification,reconsidering,3
connecting,emotion_perception,4
connecting,emotional_reappraisal,6
remembering,applying,6
emotion_facilitation,emotion_facilitation,4
distinguishing,emotion_facilitation,6
emotion_facilitation,situation_selection,1
emotion_facilitation,abstracting,6
abstracting,updating_beliefs,3
perspective_taking,updating_beliefs,1
emotion_understanding,updating_beliefs,6
attentional_deployment,emotion_receiving,4
convergent_thinking,connecting,13
hypothesis_generation,meta_awareness,6
evaluating,meta_awareness,5
convergent_thinking,meta_awareness,4
emotion_valuing,meta_awareness,2
meta_awareness,concretizing,2
zooming_in,attentional_deployment,6
counterfactual_reasoning,meta_awareness,4
meta_awareness,emotion_responding,4
meta_awareness,cognition_awareness,2
meta_awareness,understanding,3
concretizing,creating,3
creating,questioning,8
emotion_characterizing,zooming_in,3
emotional_reappraisal,connecting,8
creating,connecting,2
convergent_thinking,creating,11
emotional_reappraisal,emotion_receiving,6
emotion_characterizing,creating,2
emotion_valuing,creating,4
metacognitive_monitoring,connecting,5
convergent_thinking,metacognitive_regulation,14
metacognitive_regulation,reconsidering,3
divergent_thinking,applying,17
connecting,connecting,3
zooming_in,connecting,6
applying,connecting,5
metacognitive_monitoring,meta_awareness,1
meta_awareness,reframing,9
hypothesis_generation,accepting,8
accepting,meta_awareness,1
emotion_perception,meta_awareness,2
meta_awareness,abstracting,3
meta_awareness,meta_awareness,2
pattern_recognition,meta_awareness,4
perspective_taking,metacognitive_regulation,3
situation_selection,metacognitive_regulation,5
metacognitive_regulation,counterfactual_reasoning,4
suspending_judgment,evaluating,6
suspending_judgment,emotion_perception,2
suspending_judgment,metacognitive_monitoring,3
suspending_judgment,emotion_valuing,3
suspending_judgment,applying,1
emotion_responding,emotion_facilitation,9
emotion_receiving,metacognitive_monitoring,6
emotion_receiving,emotion_organizing,1
situation_modification,emotion_understanding,6
perspective_taking,emotion_facilitation,5
emotion_management,emotion_facilitation,1
emotion_facilitation,emotional_reappraisal,6
emotion_facilitation,emotion_management,2
emotion_organizing,emotional_reappraisal,1
emotion_organizing,emotion_perception,1
emotion_organizing,emotion_facilitation,1
emotion_organizing,emotion_management,1
emotion_perception,updating_beliefs,2
emotion_facilitation,updating_beliefs,2
emotion_management,updating_beliefs,2
updating_beliefs,applying,1
updating_beliefs,emotion_valuing,2
updating_beliefs,updating_beliefs,1
emotion_responding,updating_beliefs,8
emotion_valuing,emotion_facilitation,3
pattern_recognition,emotion_facilitation,6
emotion_facilitation,emotion_understanding,13
emotion_facilitation,emotion_characterizing,4
emotion_facilitation,applying,2
applying,emotional_reappraisal,8
evaluating,emotion_organizing,5
self_questioning,emotion_organizing,6
emotion_understanding,emotion_organizing,5
applying,metacognitive_regulation,4
metacognitive_regulation,pattern_recognition,3
meta_awareness,updating_beliefs,1
meta_awareness,remembering,5
zooming_in,updating_beliefs,2
analyzing,updating_beliefs,5
updating_beliefs,emotion_receiving,2
attentional_deployment,emotion_characterizing,6
emotion_management,metacognitive_regulation,2
emotion_management,pattern_recognition,6
emotion_management,situation_selection,4
concretizing,emotional_reappraisal,4
emotion_receiving,updating_beliefs,1
updating_beliefs,understanding,3
hypothesis_generation,situation_modification,5
emotion_perception,situation_modification,2
situation_selection,situation_modification,4
understanding,situation_modification,4
emotion_characterizing,concretizing,6
emotion_management,situation_modification,3
cognition_awareness,accepting,6
accepting,convergent_thinking,11
accepting,creating,2
emotional_reappraisal,creating,5
metacognitive_monitoring,creating,8
emotion_organizing,questioning,2
emotion_organizing,creating,1
creating,zooming_in,1
remembering,emotion_facilitation,3
metacognitive_regulation,perspective_taking,1
connecting,accepting,1
emotion_understanding,accepting,6
accepting,analyzing,3
emotion_characterizing,situation_selection,3
emotion_perception,accepting,2
accepting,accepting,2
emotion_management,accepting,3
emotion_receiving,emotion_valuing,10
emotion_organizing,meta_awareness,1
zooming_out,emotion_receiving,5
situation_selection,emotion_management,4
suspending_judgment,accepting,1
concretizing,zooming_in,2
divergent_thinking,metacognitive_regulation,11
accepting,emotion_receiving,1
applying,emotion_receiving,5
situation_modification,abstracting,5
situation_modification,emotion_receiving,1
metacognitive_monitoring,emotion_receiving,9
applying,metacognitive_monitoring,7
pattern_recognition,updating_beliefs,4
situation_selection,connecting,3
situation_selection,updating_beliefs,1
updating_beliefs,situation_selection,2
updating_beliefs,perspective_taking,3
zooming_out,emotion_facilitation,3
emotion_characterizing,connecting,5
updating_beliefs,divergent_thinking,3
applying,zooming_in,6
emotion_management,zooming_in,2
pattern_recognition,suspending_judgment,1
reconsidering,suspending_judgment,2
meta_awareness,emotion_understanding,3
metacognitive_regulation,emotional_reappraisal,2
applying,accepting,2
emotion_characterizing,accepting,1
metacognitive_regulation,connecting,1
connecting,cognition_awareness,2
connecting,zooming_in,5
emotion_management,emotion_valuing,3
connecting,concretizing,3
emotional_reappraisal,accepting,3
suspending_judgment,emotion_receiving,1
metacognitive_monitoring,metacognitive_regulation,6
emotion_valuing,suspending_judgment,2
suspending_judgment,abstracting,1
applying,creating,3
emotional_reappraisal,situation_modification,1
creating,concretizing,4
zooming_in,zooming_out,4
